query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
chocolate thins,2,1,3,3,https://www.coles.com.au/search?q=chocolate%20thins
girls briefs,2,1,19,4,https://www.coles.com.au/search?q=girls%20briefs
essences,1,1,73,0,https://www.coles.com.au/search?q=essences
bao,1,1,10,11,https://www.coles.com.au/search?q=bao
beans sprout,2,1,3,3,https://www.coles.com.au/search?q=beans%20sprout
butter devonda,2,1,6,8,https://www.coles.com.au/search?q=butter%20devonda
powerade zero,2,1,3,3,https://www.coles.com.au/search?q=powerade%20zero
paracetamol caplets,2,1,8,2,https://www.coles.com.au/search?q=paracetamol%20caplets
arnotts granitas,2,1,1,0,https://www.coles.com.au/search?q=arnotts%20granitas
always olives,2,1,22,23,https://www.coles.com.au/search?q=always%20olives
onion oil,2,1,1,3,https://www.coles.com.au/search?q=onion%20oil
decor glass,2,1,6,18,https://www.coles.com.au/search?q=decor%20glass
masterfood marinades,2,1,5,0,https://www.coles.com.au/search?q=masterfood%20marinades
peas coles,2,1,18,2,https://www.coles.com.au/search?q=peas%20coles
aoli,1,1,1,18,https://www.coles.com.au/search?q=aoli
curry rice,2,1,15,0,https://www.coles.com.au/search?q=curry%20rice
apple scroll,2,1,14,0,https://www.coles.com.au/search?q=apple%20scroll
minced pie,2,1,2,1,https://www.coles.com.au/search?q=minced%20pie
tweezer,1,1,5,5,https://www.coles.com.au/search?q=tweezer
slaw,1,1,11,2,https://www.coles.com.au/search?q=slaw
self raisif,2,1,14,0,https://www.coles.com.au/search?q=self%20raisif
arnott raspberry,2,1,5,2,https://www.coles.com.au/search?q=arnott%20raspberry
milkshake,1,1,4,75,https://www.coles.com.au/search?q=milkshake
bub organic,2,1,5,4,https://www.coles.com.au/search?q=bub%20organic
carrots baby,2,1,25,17,https://www.coles.com.au/search?q=carrots%20baby
lambs shanks,2,1,9,6,https://www.coles.com.au/search?q=lambs%20shanks
parmesan dip,2,1,1,2,https://www.coles.com.au/search?q=parmesan%20dip
pork meal,2,1,25,25,https://www.coles.com.au/search?q=pork%20meal
seasoning chicken,2,1,15,93,https://www.coles.com.au/search?q=seasoning%20chicken
toddler,2,1,50,0,https://www.coles.com.au/search?q=toddler
chicken shreded,2,1,11,6,https://www.coles.com.au/search?q=chicken%20shreded
handy andy,2,1,1,2,https://www.coles.com.au/search?q=handy%20andy
bake powder,2,1,10,11,https://www.coles.com.au/search?q=bake%20powder
cashmere vanilla,2,1,21,5,https://www.coles.com.au/search?q=cashmere%20vanilla
maccona latte,2,1,5,0,https://www.coles.com.au/search?q=maccona%20latte
hair gummies,2,1,5,5,https://www.coles.com.au/search?q=hair%20gummies
roast caps,2,1,2,0,https://www.coles.com.au/search?q=roast%20caps
chocolate melts,2,1,8,8,https://www.coles.com.au/search?q=chocolate%20melts
omo capsul,2,1,11,11,https://www.coles.com.au/search?q=omo%20capsul
bites weetbix,2,1,122,3,https://www.coles.com.au/search?q=bites%20weetbix
batchelors,1,1,2,0,https://www.coles.com.au/search?q=batchelors
aerogard odourless,2,1,4,3,https://www.coles.com.au/search?q=aerogard%20odourless
garnier nutriss,2,1,23,10,https://www.coles.com.au/search?q=garnier%20nutriss
shredded cereal,2,1,53,1,https://www.coles.com.au/search?q=shredded%20cereal
cub walker,2,1,12,6,https://www.coles.com.au/search?q=cub%20walker
sesame crackers,2,1,8,12,https://www.coles.com.au/search?q=sesame%20crackers
mexican masterfoods,2,1,2,2,https://www.coles.com.au/search?q=mexican%20masterfoods
floor earth,2,1,2,5,https://www.coles.com.au/search?q=floor%20earth
oreos cream,2,1,18,9,https://www.coles.com.au/search?q=oreos%20cream
marion thai,2,1,6,6,https://www.coles.com.au/search?q=marion%20thai
yoghurt flip,2,1,6,0,https://www.coles.com.au/search?q=yoghurt%20flip
dishwasher wash,2,1,7,0,https://www.coles.com.au/search?q=dishwasher%20wash
mushrooms shitake,2,1,4,7,https://www.coles.com.au/search?q=mushrooms%20shitake
bellamy apple,2,1,5,2,https://www.coles.com.au/search?q=bellamy%20apple
automatic indoor,2,1,39,﻿,https://www.coles.com.au/search?q=automatic%20indoor
avent bottles,2,1,2,7,https://www.coles.com.au/search?q=avent%20bottles
pilates ring,2,1,25,2,https://www.coles.com.au/search?q=pilates%20ring
centrum men,2,1,2,2,https://www.coles.com.au/search?q=centrum%20men
beef booster,2,1,168,1,https://www.coles.com.au/search?q=beef%20booster
weebix,1,1,0,17,https://www.coles.com.au/search?q=weebix
moccona classics,2,1,19,8,https://www.coles.com.au/search?q=moccona%20classics
vital whey,2,1,37,0,https://www.coles.com.au/search?q=vital%20whey
spelt wholemeal,2,1,3,6,https://www.coles.com.au/search?q=spelt%20wholemeal
masterfood,1,1,172,0,https://www.coles.com.au/search?q=masterfood
womens shaving,2,1,87,7,https://www.coles.com.au/search?q=womens%20shaving
milk uht,2,1,25,0,https://www.coles.com.au/search?q=milk%20uht
box juice,2,1,5,49,https://www.coles.com.au/search?q=box%20juice
straightening brush,2,1,1,4,https://www.coles.com.au/search?q=straightening%20brush
grill rub,2,1,3,8,https://www.coles.com.au/search?q=grill%20rub
patak tandoori,2,1,2,3,https://www.coles.com.au/search?q=patak%20tandoori
biscuit premium,2,1,18,4,https://www.coles.com.au/search?q=biscuit%20premium
treat bags,2,1,22,12,https://www.coles.com.au/search?q=treat%20bags
regular tortillas,2,1,3,37,https://www.coles.com.au/search?q=regular%20tortillas
frozen veggies,2,1,628,5,https://www.coles.com.au/search?q=frozen%20veggies
philadelphia tub,2,1,2,5,https://www.coles.com.au/search?q=philadelphia%20tub
disinfectant bleach,2,1,6,85,https://www.coles.com.au/search?q=disinfectant%20bleach
almonds ground,2,1,0,184,https://www.coles.com.au/search?q=almonds%20ground
large shell,2,1,5,2,https://www.coles.com.au/search?q=large%20shell
lindt chocol,2,1,57,77,https://www.coles.com.au/search?q=lindt%20chocol
potato loos,2,1,5,1,https://www.coles.com.au/search?q=potato%20loos
rolls brioche,2,1,8,1,https://www.coles.com.au/search?q=rolls%20brioche
rice sugar,2,1,3,1,https://www.coles.com.au/search?q=rice%20sugar
rexona women,2,1,28,0,https://www.coles.com.au/search?q=rexona%20women
milk formular,2,1,21,31,https://www.coles.com.au/search?q=milk%20formular
dried coco,2,1,6,0,https://www.coles.com.au/search?q=dried%20coco
rice wild,2,1,4,5,https://www.coles.com.au/search?q=rice%20wild
coffee filter,2,1,2,2,https://www.coles.com.au/search?q=coffee%20filter
fruit snack,2,1,156,0,https://www.coles.com.au/search?q=fruit%20snack
bathroom ajax,2,1,2,3,https://www.coles.com.au/search?q=bathroom%20ajax
smokey bbq,2,1,11,18,https://www.coles.com.au/search?q=smokey%20bbq
hazelnut flour,2,1,3,8,https://www.coles.com.au/search?q=hazelnut%20flour
bean heinz,2,1,32,0,https://www.coles.com.au/search?q=bean%20heinz
salmon froz,2,1,1,7,https://www.coles.com.au/search?q=salmon%20froz
weatbix kids,2,1,1,1,https://www.coles.com.au/search?q=weatbix%20kids
frozen bolognase,2,1,1,14,https://www.coles.com.au/search?q=frozen%20bolognase
colgate freshmint,2,1,3,3,https://www.coles.com.au/search?q=colgate%20freshmint
milk thermometer,2,1,5,716,https://www.coles.com.au/search?q=milk%20thermometer
fly paper,2,1,5,269,https://www.coles.com.au/search?q=fly%20paper
nando rub,2,1,3,3,https://www.coles.com.au/search?q=nando%20rub
vege twists,2,1,16,1,https://www.coles.com.au/search?q=vege%20twists
cottonbuds,1,1,12,2,https://www.coles.com.au/search?q=cottonbuds
arnotts bisciuts,2,1,120,120,https://www.coles.com.au/search?q=arnotts%20bisciuts
sunbeam sultana,2,1,8,10,https://www.coles.com.au/search?q=sunbeam%20sultana
portugese tart,2,1,0,1,https://www.coles.com.au/search?q=portugese%20tart
