query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url,elastic_results,semantic_results,merged_results,jaccard
chocolate thins,2.0,1.0,3,3,https://www.coles.com.au/search?q=chocolate%20thins,"['4256070cc3b721bd58b1fec5731bcbca', 'cd1611ceb22319f43e946e187fed426d', 'e23513d8beae622fa7d1004e74fe1dc0', '564f31f0d3f1e07ead2ad546c8ed04df', '7bb80e3bba6694ff9a849d0e0eee0586', '94e0561cfc919f8e5a25c26c9ffdfb4e', 'ce2eb8cebf1b63e86800fc4890a0b3a2', '0e2713b86fda41b11054954635d88e06', '29b9bb2d2f73e5838e9b2dbdc03f9dce', 'f56d77553bd2259fb6a0cb72f663c169', '91920c16615d016ceb9f66cec12d9e5a', '38fe8d2f9b79043f6b2429e048780968', 'bd0db3cf9822e5adabe38530683b68b6', '6733b6b8d33847f37dc14d88da98d3d6', 'f71db7cce0e16bdf6b409b4bcf60aac8', '65a27c6d1883323400ef0ed51028c769', '8af13acce28244439acc4228575a8c33', '53e5df538e01b207a19efa2279af69fe', 'e8fe97bd271e80d85f63475a217302b6', '6be85159e4e2d5c1923c081f10c6b765']","['cd1611ceb22319f43e946e187fed426d', '4256070cc3b721bd58b1fec5731bcbca', 'e23513d8beae622fa7d1004e74fe1dc0', '462128d41f53c23b045d21d8fbef78d4', 'bd0db3cf9822e5adabe38530683b68b6', '564f31f0d3f1e07ead2ad546c8ed04df', '7bb80e3bba6694ff9a849d0e0eee0586', '4fb564c49379e1a4c52f7d3973f468e4', '189a590dd65f6163c447edf2841fe7ee', 'e8fe97bd271e80d85f63475a217302b6', '6cf1be9823058c2370f99cd987300e40', '48df418ea48c214eee510e64be1a3c4d', '065090482c2fb78c6fc456b910a68cf7', '4c7e4233e48e67ba5e7e6d268b922a17', '05905e6fb98263df2dae87056af6e816', '0e2713b86fda41b11054954635d88e06', 'c3a571fec6e816e2597976589fa7ff54', '5306ce2ecda3b2168603332d1d8d984d', 'f56d77553bd2259fb6a0cb72f663c169', '53e5df538e01b207a19efa2279af69fe']","['4256070cc3b721bd58b1fec5731bcbca', 'cd1611ceb22319f43e946e187fed426d', 'e23513d8beae622fa7d1004e74fe1dc0', '462128d41f53c23b045d21d8fbef78d4', 'bd0db3cf9822e5adabe38530683b68b6', '564f31f0d3f1e07ead2ad546c8ed04df', '7bb80e3bba6694ff9a849d0e0eee0586', '4fb564c49379e1a4c52f7d3973f468e4', '189a590dd65f6163c447edf2841fe7ee', 'e8fe97bd271e80d85f63475a217302b6']",0.3333333333333333
girls briefs,2.0,1.0,19,4,https://www.coles.com.au/search?q=girls%20briefs,"['f9716098547df82265a1043705a2fcd7', '5d780a9558d5d705a20769672ae028fb', '070e8e8572861fe4eb04e2db8eeac0bb', '02dd497811decf26c39d22062c48df41', 'b621185509fa53a7bfa4cbb2bb1f46bc', 'a49858eefd8bed0f5ca87b96917f59f8', '938c8ff116f302fdb4e902de3902ab5d', 'af5e1f4372991b71a1ca49d81b4003bf', '354594dd7d0bf4574cdaec4bd5e626b0', '11f0934e281c60e98ceec4a1f27bee36', '5c7fd992cc2e06e2892fb018c6fc1030', '807dbf8c7cbd417afeeead8ffa6a4307', '3565a9ff40ef976178e5efb6b4fe79d9', 'd32f7bcb7fd45cde451454f2da7a2230', 'fe07af768ad5254d56402fa82732b114', '5040cca41f2363e1fda05cdda3073b3a', '010989f2374ec9427d3af48d76e427fb', '49a235e5d587d4b6399c9c04da4b48e0', 'c9e82fdef5aa9458d8c85db0e00e9860', 'a9f13783660feb69d3f24bf80a406500']","['d4ac390e4d8c7374424ec340558f5579', 'b621185509fa53a7bfa4cbb2bb1f46bc', '5c1ed8d14227358f6eedfdcc3f0ca0c1', '5c7fd992cc2e06e2892fb018c6fc1030', 'a5c7aaf68e89a8227400be82bd414291', '3667853fbac3d50326d7f6bdc082651f', '398a904e70c6d4540c8ed0d8aeb106bb', '354594dd7d0bf4574cdaec4bd5e626b0', 'faaa144f53dbc3ee129180c531b9b956', 'dfe864a2ca0e45a1248afbb1aed4ec0f', '0b88ad75a24a4b57a85fdcb00da2b7ae', '4f48ceb96101a5426e4e0b64a2c2728a', '4a1950ee69696d1cadd6689db502c4a6', '2314fcc5c52e18349b90c79042afd6e6', '8b88d528182463bedfccb86ce9cd52db', 'ad2a8b02fc63108ddf385ac9e6fd8a36', 'a49858eefd8bed0f5ca87b96917f59f8', '3634ff4bc2e4311be5d1f55c7f7e21da', '745f28da0ae34017fbceafd29980a858', '2047cf9ddf91584dd194989b462375dc']","['f9716098547df82265a1043705a2fcd7', 'd4ac390e4d8c7374424ec340558f5579', 'b621185509fa53a7bfa4cbb2bb1f46bc', '5c1ed8d14227358f6eedfdcc3f0ca0c1', '5c7fd992cc2e06e2892fb018c6fc1030', 'a5c7aaf68e89a8227400be82bd414291', '3667853fbac3d50326d7f6bdc082651f', '398a904e70c6d4540c8ed0d8aeb106bb', '354594dd7d0bf4574cdaec4bd5e626b0', 'faaa144f53dbc3ee129180c531b9b956']",0.1111111111111111
essences,1.0,1.0,73,0,https://www.coles.com.au/search?q=essences,"['4e507410c16a4024b74d0ac6baa6a1a6', '2617e7be198555efb1ab8bc4772cf420', '14c903941913d83cef3fd5e94e74dc3a', '8f1bc5c11336888c34c9af86768d2ed1', '8f21637750e0e308bfcc33d7d017c656', 'a4a6e557c9b5ec0ebf2fa37d069493dd', '05f2fdab9bbc550e9d2d716182659eb2', 'cb9bc78417b594341a0d4b4366d62b45', '02f315921fd45a7f052b469304cb98b7', '5a457b2bbbe92fa7af3b5c75bdd200f7', 'f94fbd5748f6acecde33a086219f9c40', '3d764a55ef2a09dbc3bc6d8b682a0fdd', 'a3c58480895d5c48c4c0c93b066207f1', '8fac03c8609f04728e6078217c7d71f3', '4dd82546336a71082b3b05d2d800984d', '949874db2060f850e28d41624644f00f', '9cbb581c99dc25d5a4966faf18a7c554', '7de2e2439a12d3704c33b55b362b7b68', '4f2e5b5ec8da071ea2a4072bae2c66cb', '83b4a8ad42e1b2c88b6949c991a4a666']","['33399ebe6c4e08a12ab4e25f9284dd54', '3507df5b978c349b652f64c9654ad586', '54543157698ab388c5c679580f6dae18', '52dd83fd181ff73bebded757147c6295', '07a2265b292ac42a14b33ffff29b0125', 'a1c8e0095a9d16740553dd04934fd1b5', '3ba629b9a477e233ef929012c4191da0', '88c6790cfd97b3b680d043dbd4be5361', 'fe50efd0030130415545ae16f375774a', '66d84faa6296681828ae63512962e7c5', '7ff5c1219d65be53359c58290d2cffbe', '53d64943c61b211badc966be26a73f03', '23cac3d5d183e6a9ce620b0c81d8f294', 'cc279f1fae8ef8f7743ffe06da7fb3fd', '16c786148efc31b2587977c2ead9c106', '0233119620911a9ce799b25bc6daa581', 'e5e321b7b51135d706b7770970ff2929', '86656253d08d864d181b133ff2f84e42', 'd126fc5b72da189d2ededfa17c0be9ac', 'a87a5adb14a7eb6a4c6be8e0a0affcd8']","['4e507410c16a4024b74d0ac6baa6a1a6', '33399ebe6c4e08a12ab4e25f9284dd54', '3507df5b978c349b652f64c9654ad586', '54543157698ab388c5c679580f6dae18', '52dd83fd181ff73bebded757147c6295', '07a2265b292ac42a14b33ffff29b0125', 'a1c8e0095a9d16740553dd04934fd1b5', '3ba629b9a477e233ef929012c4191da0', '88c6790cfd97b3b680d043dbd4be5361', 'fe50efd0030130415545ae16f375774a']",0.0
bao,1.0,1.0,10,11,https://www.coles.com.au/search?q=bao,"['0ecbf53c68002c5f80301610818d8535', '385d2c8558e17e59508fbf28e88cc574', 'ac60a138154e9ca144acdf1cc48388fd', 'dea2d41eea914eecb301576871c03051', 'c77658d5d1fdce1a2d82152d67c48cb0', 'b4a6413afdbc7620b4ee358a9688faa0', '80877803730a6999749bb05a552992a0']","['034c1413c225c1897e165dc167a173a8', 'ac60a138154e9ca144acdf1cc48388fd', 'eb76b689afa3215f878c28475aaf3c66', '7ccdcb99396c98fdadfabc7ecc50041d', '330a2fd1fbcc1c58b03602c799885f23', '2cb76599830f1c3b28913aa58ad24cc7', 'e27ad05b47a5fa0c80b0762ca627836e', '23f477da594d3e34f26c4e90bd5918d8', 'c20c66c59655a25d33fe1322bdc6437e', 'ede03b8829407291ffec49b9368dddba', 'eb1b1fe16b5777a34bab890513ff2b18', 'c77658d5d1fdce1a2d82152d67c48cb0', '36f4b96eebd6105586782adac15a6f49', '1e4f8e5fc68437f661de3c4e52245b5f', '4055db57ced44a20b1f793820ff065e3', '1310a63f82614faafc897aa4ed25ecb5', '0aa9898b7a19e202cd0a3df8ccd74a89', '62f1da21e3e95037b08fe351b8a0b8a2', '0e724bde011aba1fe9ceeeba1de643cc', '408a21a400b00587d0f1e67b062e2fd5']","['0ecbf53c68002c5f80301610818d8535', '034c1413c225c1897e165dc167a173a8', 'ac60a138154e9ca144acdf1cc48388fd', 'eb76b689afa3215f878c28475aaf3c66', '7ccdcb99396c98fdadfabc7ecc50041d', '330a2fd1fbcc1c58b03602c799885f23', '2cb76599830f1c3b28913aa58ad24cc7', 'e27ad05b47a5fa0c80b0762ca627836e', '23f477da594d3e34f26c4e90bd5918d8', 'c20c66c59655a25d33fe1322bdc6437e']",0.08
beans sprout,2.0,1.0,3,3,https://www.coles.com.au/search?q=beans%20sprout,"['c8bf5f152c033a759f371434c9eee525', '5523f88453deb5aea65a516ae350c8d4', '28fcb307451b03d3002df7a2d45e07a1', '99525817ce6b7157523c77afdb2b27d5', '04a69c163e5672642753bd4d6f351a52', '5afec2155d108e140c801b9b4f65cb44', '391700704d5712ff802949e93ecf4ff0', '6a04c30c66fd54ddbd632877cd5ec59f', 'e76f49464899af38e696ac89f800cac2', 'eadd98b554104cbf4dd2b780312e7d87', '6997c883d8dac3f2ea718db7eb323b42', '4feee45cc32241c3c5068439294644fa', '5d333f589a62477996b3b6faf7bf837f', '6f36bf5e53eb7f3ddc6383f113c4c023', 'd6d8a64828cfd411435e6464bd12f1c0', '04e0e3b305d41006d3f3ad4c73265318', '04915ceaeb98a20402248b5093815824', '7f621dbf480e4daaae36ca57892fec5b', '087de57b5fb048e61747661cc8586bb5', '3dac5bb066966f30be3421ca9dd750e2']","['6ebda757be385422fcdddc16623e586d', 'ec34ab0459a0570ea2c0a372a58d0fe8', '79c5c9db1d94ffdfc9b49b4a32197cb3', 'c2e146c90f4de0e0aac8e53f8cc61e39', 'b245911aa0e3e316b633320d8474de2b', '5727f648a00fc88f799e1feda5f83345', '93038e2fcb26e186c6082582aa3a9515', 'd6d8a64828cfd411435e6464bd12f1c0', 'c41a36f6be3b24a933d6bf84c3ee46a8', '2dbd09ce393fe517257074d5b0bd65b6', '87705c1961568452e507dbcecc3149b0', '956142f67c32314d0bce24adf4a6891e', 'eadd98b554104cbf4dd2b780312e7d87', '80cee50963c9d98e5c0d564b7a76b875', 'ff56e9c06492e68be5794287537d2567', '7f9008a795269d673b4d1870b73b866d', 'e9deecb502bc76e3787664f700a07e48', 'eb526b1ab3a63407db8f258466428349', '49c033b0eea6471554af50f9ec3c9581', '683b2a4dc21ed6f2349db1964a3c2ff2']","['c8bf5f152c033a759f371434c9eee525', '6ebda757be385422fcdddc16623e586d', 'ec34ab0459a0570ea2c0a372a58d0fe8', '79c5c9db1d94ffdfc9b49b4a32197cb3', 'c2e146c90f4de0e0aac8e53f8cc61e39', 'b245911aa0e3e316b633320d8474de2b', '5727f648a00fc88f799e1feda5f83345', '93038e2fcb26e186c6082582aa3a9515', 'd6d8a64828cfd411435e6464bd12f1c0', 'c41a36f6be3b24a933d6bf84c3ee46a8']",0.05263157894736842
butter devonda,2.0,1.0,6,8,https://www.coles.com.au/search?q=butter%20devonda,"['f95a7cf9078028b5e024824adc6aa87d', '1af833ea60e15b780ea25e996bd674a2', '16c6c2e0387a8bb84ddd52b5b1186535', '24b18249ab76f61949c7a94687ecb5fc', 'b723fdedafc9ce302a1d2f8969699c51', '0629e2eda61c8c933d0c748f88dbc77e', '63a27183981bafd716f1d3a599abc3f5', '5afec2155d108e140c801b9b4f65cb44', 'a67b91d1a2ae30cb07a31267eb3af3c2', 'e76f49464899af38e696ac89f800cac2', '7b51c74e61e94348852f7eb32a1d6a3b', '83b1c60283aede12ebc83e7d6acf2689', 'eadd98b554104cbf4dd2b780312e7d87', '15ecbf30e5e840c59e053cec358632bd', '7b931a287e84dff7313537f7592947b8', '872a470383cd2a4361645ce629058cbb', '8a5eaf718322b0a0b78390b8cf78be05', 'b7ee8c01bd675c262a4ad65b4468a3c6', 'f2511dfbf321a604d3f0d7a179c8f02f', '7b1025186214371b367e77f64986b303']","['d8f25a60da44971b9c94a9d5f481d05a', 'a67b91d1a2ae30cb07a31267eb3af3c2', '8a5eaf718322b0a0b78390b8cf78be05', '15ecbf30e5e840c59e053cec358632bd', '10428c63a5859b0e5a3aa6bc946ef0a4', '437366a3ffb6dd5c623b397730685efa', '61fe84ef1e68af674fac174a1c4b502c', 'e76f49464899af38e696ac89f800cac2', '4c1742bcac2f6ff7715c808f01479e1a', '0890aca3e83d5ea63d6746fdcf6142d1', '8f14e307cfd7fe3f8af84063f59f11d4', 'aefb245e38173a50a14d9278b621e7b2', '8c3939e0c6eeee84da39d5b46c57936f', '64daf2fc0621a36debea2b8627956de6', 'a1227a57f931360a6d45539837035374', '7cfbdaa9b015788f5639beccd0878dfa', '20653ec0e1ec8ae5a581c5014c195abf', '318a2aaa9aeba6f3675aa216c713ea38', '6253657d5043e8e8c5509c057146c8bb', '872a470383cd2a4361645ce629058cbb']","['f95a7cf9078028b5e024824adc6aa87d', 'd8f25a60da44971b9c94a9d5f481d05a', 'a67b91d1a2ae30cb07a31267eb3af3c2', '8a5eaf718322b0a0b78390b8cf78be05', '15ecbf30e5e840c59e053cec358632bd', '10428c63a5859b0e5a3aa6bc946ef0a4', '437366a3ffb6dd5c623b397730685efa', '61fe84ef1e68af674fac174a1c4b502c', 'e76f49464899af38e696ac89f800cac2', '4c1742bcac2f6ff7715c808f01479e1a']",0.14285714285714285
powerade zero,2.0,1.0,3,3,https://www.coles.com.au/search?q=powerade%20zero,"['b6a49aad3435b0c3df6537f2e7848a21', '230aef15526370affff7cf8e33bb145d', '36186ea64416139a5b72cc41bd137f30', 'e8b49116c78f9b32b6ec4fc9644b0850', 'f9ec7a9e560da4873847d9a15e62e170', '51a7e305b3c4514895a6134b349c4da1', '70352579735d1d4d1ca6fa50d286d70d', '24a4e3623efcba0e0e8eaec4dc658f1b', '8a28997d05262f8b72379763428b3977', '74134fb1a0f1e6bf2cb78318d8be4656', '4ab36571d668f9815905b6e300264942', '99a031b6f361874c0e0ced511a052baf', 'edc6fd991df95f6686fe4b6ef64d9a7d', '6cfc145d238bfa75caef6afdd86340e2', '3b4d744d37739ec6ef186552dcceed55', 'dd0a4d04cd87f4a0da0ab04e18c701e4', '585b7daa2a53d380c351502c2b14fda9', '5020ad152573cbaa5ab74423f82f485d', '71bb1e8bdef47183348879a6e8721164', '9fc111b311c80c5eabce59818821beb8']","['1ff7b18640d9eac92e7bc6a27312b67d', '6fb6eed84224e044942383a993b6c27b', '9da3ec449898c4ef6f030d9dafb55bc9', 'ad49ddd323094abd0282d7d29aa45a23', '4669f85e6f8870d557488196b9989c99', '36186ea64416139a5b72cc41bd137f30', '230aef15526370affff7cf8e33bb145d', '6cfc145d238bfa75caef6afdd86340e2', '59ffb726f707a30ce6a27ec8c78ac082', 'b6244d937e17e68b80ee0f92f1af32c2', '7b2b3e94b0a8e5760bff50fcc864693f', '8681828fb56e97b9d0eb52f25f2458ac', '0006ca5c33344d91f4ec69cec6dff22b', 'e495d6e1821d80fd64ebfe14a185f220', '898eb85c9d2609ef95e3b8a84c3c0672', '8ab14959bd02b1f50868243a6b94a52b', '9fc111b311c80c5eabce59818821beb8', '864ac44b143d86bf21f090cdbb70d835', '1ac9fa89ceda3ac62b6dfbbc28ba3368', 'e5aef5437bc865d5e604160a98f3cf8d']","['b6a49aad3435b0c3df6537f2e7848a21', '1ff7b18640d9eac92e7bc6a27312b67d', '6fb6eed84224e044942383a993b6c27b', '9da3ec449898c4ef6f030d9dafb55bc9', 'ad49ddd323094abd0282d7d29aa45a23', '4669f85e6f8870d557488196b9989c99', '36186ea64416139a5b72cc41bd137f30', '230aef15526370affff7cf8e33bb145d', '6cfc145d238bfa75caef6afdd86340e2', '59ffb726f707a30ce6a27ec8c78ac082']",0.1111111111111111
paracetamol caplets,2.0,1.0,8,2,https://www.coles.com.au/search?q=paracetamol%20caplets,"['48fc9b0a0d3204634de2a16133759c9f', '3f2e71400c226b9da8a3b8abf6e04cde', '9de819a1c6421598cf54b830d128c1ce', '0cf4ee5fd0631863f54e9eee4062ad95', 'bd5555f3e16e557d9aa3c6959f0fb716', '084a60f9c08cc84bcacc834e019e0c5c', 'ab6e3ab4bea1de15959156822cc8fe5b', '104fda92c7b385faf2963ffdb953615f', '2dddad20024b01436b7f0e7a6db330a8', '21d042469b00c46a4c603df66682f8d6', 'c2cabfa8e3c844d50205161c1177cda7', '9db1ed6d9a140e33afe1aec61cad5586', 'b0d4ae4d6a98b3aaf7cd82d6fca25896', '38039bf6505aa89eb56b53510f4a608a', '6468e02b0a9556eaf14ee77ae8a2abe5', 'fc33ecd8a97fa693ca2c0b0310cce589', 'bc3e72ef73a9ace2e97d512134f78e01', '25f50c312d71a2a29c965a6305ffd4e8', '13681b3b23c9172b01b865501ea0abc1', 'f62ac5f3dc1cbf7f98192c1cedb24426']","['48fc9b0a0d3204634de2a16133759c9f', '0cf4ee5fd0631863f54e9eee4062ad95', '9de819a1c6421598cf54b830d128c1ce', '3f2e71400c226b9da8a3b8abf6e04cde', '38039bf6505aa89eb56b53510f4a608a', 'bd5555f3e16e557d9aa3c6959f0fb716', 'c2cabfa8e3c844d50205161c1177cda7', 'ab6e3ab4bea1de15959156822cc8fe5b', '084a60f9c08cc84bcacc834e019e0c5c', '6468e02b0a9556eaf14ee77ae8a2abe5', '21d042469b00c46a4c603df66682f8d6', 'fc33ecd8a97fa693ca2c0b0310cce589', '9db1ed6d9a140e33afe1aec61cad5586', 'bc3e72ef73a9ace2e97d512134f78e01', 'b0d4ae4d6a98b3aaf7cd82d6fca25896', '2dddad20024b01436b7f0e7a6db330a8', '1a108e49f8be8c283b7e7dc63f921c9b', '412115c7df072424331210d36ef811db', '104fda92c7b385faf2963ffdb953615f', 'c583c04b20ffd2b5f066d40ccccd5d1e']","['48fc9b0a0d3204634de2a16133759c9f', '0cf4ee5fd0631863f54e9eee4062ad95', '9de819a1c6421598cf54b830d128c1ce', '3f2e71400c226b9da8a3b8abf6e04cde', '38039bf6505aa89eb56b53510f4a608a', 'bd5555f3e16e557d9aa3c6959f0fb716', 'c2cabfa8e3c844d50205161c1177cda7', 'ab6e3ab4bea1de15959156822cc8fe5b', '084a60f9c08cc84bcacc834e019e0c5c', '6468e02b0a9556eaf14ee77ae8a2abe5']",0.7391304347826086
arnotts granitas,2.0,1.0,1,0,https://www.coles.com.au/search?q=arnotts%20granitas,"['9536836ba985549467f34a32957c40a8', '45db786f2a4624cef38ed7fbc9302e5c', 'b28360a3d51da0f8f604774b3b024fed', 'a3cc0fe322492f27066694296c285c4d', '9c2953e16866a7e331bed520a21fc09e', 'd41577e3bc2e9f46346d130f4dd6c849', 'cd5b586b387bd4463f20e02da26fd873', '0d954e2191f39cd0f52077ca11f6cf8b', '21b655f72d9e56e3b48b7ff4693d9734', '25ae31f412e991b143f1107a2e75bf57', 'c4326c11a6d9ddf69bdc7c92c8ac0595', '6a9064e9f67b60e6e50e405bfa79ee4c', 'c562cd66b0ff5a28ef5c10fa1e7e3597', '83d1b35fb39ac0b5e82194f95d5f9ab1', 'd933a95433c041a509e12fe09beee5de']","['c3382b03649f081de60b380e721b0dea', '0b8d65a92278df549a54d54d4c8f7e43', 'b3aa57ab00de67dae44cc7d7556f6343', '3950bd301f8b3117463abd3334d1a144', '07034e48ee71fd626210a3e6a41d0998', '42dec42cdf9ff79abcfa8b696a3327c3', '1b4197947366d0f0241cf196c85d389e', '27fde09bfbb739aeec966fac227e995c', '3f2e28e292b02c6f05fb3f532b769ae9', 'fa2199c996382dc9d37add530f0dedbe', '6a9064e9f67b60e6e50e405bfa79ee4c', 'ef71d2960b6091e26725fc983884d53f', 'db81e3a4d57ff286d116527ef583db85', 'f97e0618a1b9f5e18584e4537ba44d9f', 'cd5b586b387bd4463f20e02da26fd873', '6bcae7a97668adcfccf14bbab7fb89f1', '08dfcf178d7cc92f777da93d9613e996', '1f87a3c7d52c790e582e63cd21a40c17', 'ce01dab28454aca36f7f8636b40a2b50', 'a240188405d484b02f81af63b495c30d']","['9536836ba985549467f34a32957c40a8', 'c3382b03649f081de60b380e721b0dea', '0b8d65a92278df549a54d54d4c8f7e43', 'b3aa57ab00de67dae44cc7d7556f6343', '3950bd301f8b3117463abd3334d1a144', '07034e48ee71fd626210a3e6a41d0998', '42dec42cdf9ff79abcfa8b696a3327c3', '1b4197947366d0f0241cf196c85d389e', '27fde09bfbb739aeec966fac227e995c', '3f2e28e292b02c6f05fb3f532b769ae9']",0.06060606060606061
always olives,2.0,1.0,22,23,https://www.coles.com.au/search?q=always%20olives,"['5099c40990d125ab41940652a926f735', 'cee24b4f3b7d23958303310b9a8dd326', '1ab24d8bf486b5ec7519e72cdafbf765', 'e4514174ad5e31603c42eae4e9f49f03', '86609e0bd396fc7a6a336b806a1df2cc', '597868a6df473e6a8d9155545d80a2b2', 'e80db3dc14fc5b5e1418304a31b8f53e', '1dce6beb0196ae1fbacddcdd0f9b76a9', '214460e11177b64dd16875f5be2b0963', '3cfcbba7ee54bbfbe89cb8ca1ab82f47', '918e184e40415f1297f42ecd23776bac', '382b199cbb470f1fde1ec429438a5c48', 'cb8e383ebfda5953621661b34924ac98', 'f7cf07cd7b9ffdbf1c56f024c2597a5c', '6bc08b4457d7fd12561707e742cc41e9', '8881e2e574d5585ff9478b083b53c604', '552da1c7b868c50b0753ce86710ebbd3', '8d578ecb0ab842b65b47d3d6d21e59e6', '6151d6402b604c151f31b332c0f581c2', 'd5a4dfa50bb1fcb6cf27c5757bfee480']","['86609e0bd396fc7a6a336b806a1df2cc', '3cfcbba7ee54bbfbe89cb8ca1ab82f47', '1ab24d8bf486b5ec7519e72cdafbf765', 'f7cf07cd7b9ffdbf1c56f024c2597a5c', '597868a6df473e6a8d9155545d80a2b2', 'cb8e383ebfda5953621661b34924ac98', '1dce6beb0196ae1fbacddcdd0f9b76a9', '214460e11177b64dd16875f5be2b0963', '918e184e40415f1297f42ecd23776bac', '382b199cbb470f1fde1ec429438a5c48', 'e4514174ad5e31603c42eae4e9f49f03', 'e80db3dc14fc5b5e1418304a31b8f53e', '5099c40990d125ab41940652a926f735', '115e1bd915e77debce3fe7c86b51c4ac', '342249aea0472fca060722c5a47147ba', 'bbad1457a0d9b55a418708889c335447', 'd4dd91492dead312657de02571440bcc', 'cee24b4f3b7d23958303310b9a8dd326', '9fe3935a828129f3ac24d5da9033efa5', 'de668cd1206f263626ea30957c111085']","['5099c40990d125ab41940652a926f735', '86609e0bd396fc7a6a336b806a1df2cc', '3cfcbba7ee54bbfbe89cb8ca1ab82f47', '1ab24d8bf486b5ec7519e72cdafbf765', 'f7cf07cd7b9ffdbf1c56f024c2597a5c', '597868a6df473e6a8d9155545d80a2b2', 'cb8e383ebfda5953621661b34924ac98', '1dce6beb0196ae1fbacddcdd0f9b76a9', '214460e11177b64dd16875f5be2b0963', '918e184e40415f1297f42ecd23776bac']",0.5384615384615384
