query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
sushi roll,2,1,0,1,https://www.coles.com.au/search?q=sushi%20roll
portugese tart,2,1,0,1,https://www.coles.com.au/search?q=portugese%20tart
mccain chips steak cut,4,3,0,1,https://www.coles.com.au/search?q=mccain%20chips%20steak%20cut
coles vegetable soup starter,4,3,0,1,https://www.coles.com.au/search?q=coles%20vegetable%20soup%20starter
champinins,1,1,0,2,https://www.coles.com.au/search?q=champinins
sweetbread,1,1,0,2,https://www.coles.com.au/search?q=sweetbread
moconna vanilla,2,1,0,2,https://www.coles.com.au/search?q=moconna%20vanilla
pea snap crisps,3,2,0,2,https://www.coles.com.au/search?q=pea%20snap%20crisps
milk norco l,3,2,0,2,https://www.coles.com.au/search?q=milk%20norco%20l
cheddar cheese st,3,2,0,2,https://www.coles.com.au/search?q=cheddar%20cheese%20st
white face washer,3,2,0,3,https://www.coles.com.au/search?q=white%20face%20washer
upholstery cleaner,2,1,0,5,https://www.coles.com.au/search?q=upholstery%20cleaner
scotch brite sponges,3,2,0,5,https://www.coles.com.au/search?q=scotch%20brite%20sponges
atkins day break,3,2,0,6,https://www.coles.com.au/search?q=atkins%20day%20break
sour cream rice cakes,4,3,0,6,https://www.coles.com.au/search?q=sour%20cream%20rice%20cakes
gluten free frozen chips,4,3,0,14,https://www.coles.com.au/search?q=gluten%20free%20frozen%20chips
weebix,1,1,0,17,https://www.coles.com.au/search?q=weebix
neuofen,1,1,0,21,https://www.coles.com.au/search?q=neuofen
beef burge,2,1,0,24,https://www.coles.com.au/search?q=beef%20burge
mushroom mince,2,1,0,38,https://www.coles.com.au/search?q=mushroom%20mince
mushroom portabella,2,1,0,38,https://www.coles.com.au/search?q=mushroom%20portabella
almonds ground,2,1,0,184,https://www.coles.com.au/search?q=almonds%20ground
veggs,1,1,0,252,https://www.coles.com.au/search?q=veggs
lifestyle bakery,2,1,1,0,https://www.coles.com.au/search?q=lifestyle%20bakery
tri capsicum,2,1,1,0,https://www.coles.com.au/search?q=tri%20capsicum
lice lotion,2,1,1,0,https://www.coles.com.au/search?q=lice%20lotion
tamarind paste,2,1,1,0,https://www.coles.com.au/search?q=tamarind%20paste
glass noodle,2,1,1,0,https://www.coles.com.au/search?q=glass%20noodle
arnotts granitas,2,1,1,0,https://www.coles.com.au/search?q=arnotts%20granitas
organic cherry tomatoes,3,2,1,0,https://www.coles.com.au/search?q=organic%20cherry%20tomatoes
rye bread burgen,3,2,1,0,https://www.coles.com.au/search?q=rye%20bread%20burgen
fluffy softener aqua,3,2,1,0,https://www.coles.com.au/search?q=fluffy%20softener%20aqua
mr kiplings cherry,3,2,1,0,https://www.coles.com.au/search?q=mr%20kiplings%20cherry
black eye beans,3,2,1,0,https://www.coles.com.au/search?q=black%20eye%20beans
pesto chicken salad,3,2,1,0,https://www.coles.com.au/search?q=pesto%20chicken%20salad
fehlbergs pickled onions,3,2,1,0,https://www.coles.com.au/search?q=fehlbergs%20pickled%20onions
sunny days softener,3,2,1,0,https://www.coles.com.au/search?q=sunny%20days%20softener
frozen peas carr,3,2,1,0,https://www.coles.com.au/search?q=frozen%20peas%20carr
liptons chai latte sachet,4,3,1,0,https://www.coles.com.au/search?q=liptons%20chai%20latte%20sachet
uncle ben rice medley,4,3,1,0,https://www.coles.com.au/search?q=uncle%20ben%20rice%20medley
onix home starter kettle,4,3,1,0,https://www.coles.com.au/search?q=onix%20home%20starter%20kettle
sage and onion stuffing mix,5,3,1,0,https://www.coles.com.au/search?q=sage%20and%20onion%20stuffing%20mix
arnotts sea salt cracker,4,3,1,0,https://www.coles.com.au/search?q=arnotts%20sea%20salt%20cracker
coles finest butter chicken,4,3,1,0,https://www.coles.com.au/search?q=coles%20finest%20butter%20chicken
check for chives tbs,4,3,1,0,https://www.coles.com.au/search?q=check%20for%20chives%20tbs
extra large raw p,4,3,1,0,https://www.coles.com.au/search?q=extra%20large%20raw%20p
coles total care toothpaste,4,3,1,0,https://www.coles.com.au/search?q=coles%20total%20care%20toothpaste
coles whole plums in juice,5,3,1,0,https://www.coles.com.au/search?q=coles%20whole%20plums%20in%20juice
drovers choice beef fillet,4,3,1,0,https://www.coles.com.au/search?q=drovers%20choice%20beef%20fillet
glenorchy tas super market,4,3,1,0,https://www.coles.com.au/search?q=glenorchy%20tas%20super%20market
chicken pesto pasta salad,4,3,1,0,https://www.coles.com.au/search?q=chicken%20pesto%20pasta%20salad
heat and eat beef lasagne,5,3,1,0,https://www.coles.com.au/search?q=heat%20and%20eat%20beef%20lasagne
ajax eco coconut and lime,5,3,1,0,https://www.coles.com.au/search?q=ajax%20eco%20coconut%20and%20lime
arnotts chocolate chip cookies,4,3,1,0,https://www.coles.com.au/search?q=arnotts%20chocolate%20chip%20cookies
uncle tobys ancient grain oats,5,3,1,0,https://www.coles.com.au/search?q=uncle%20tobys%20ancient%20grain%20oats
thai basil lime coconut,4,3,1,0,https://www.coles.com.au/search?q=thai%20basil%20lime%20coconut
baby formula nan compert,4,3,1,0,https://www.coles.com.au/search?q=baby%20formula%20nan%20compert
red curry duck legs,4,3,1,0,https://www.coles.com.au/search?q=red%20curry%20duck%20legs
hikari white miso paste,4,3,1,0,https://www.coles.com.au/search?q=hikari%20white%20miso%20paste
new york strip steak,4,3,1,0,https://www.coles.com.au/search?q=new%20york%20strip%20steak
coles bread butter sliced pickle,5,3,1,0,https://www.coles.com.au/search?q=coles%20bread%20butter%20sliced%20pickle
olay night cream provital,4,3,1,0,https://www.coles.com.au/search?q=olay%20night%20cream%20provital
nice and natural fruit frogs,5,3,1,0,https://www.coles.com.au/search?q=nice%20and%20natural%20fruit%20frogs
comfort vanilla orchid softener,4,3,1,0,https://www.coles.com.au/search?q=comfort%20vanilla%20orchid%20softener
british english pork sausages,4,3,1,0,https://www.coles.com.au/search?q=british%20english%20pork%20sausages
abe bagels natural bagels pack,5,3,1,0,https://www.coles.com.au/search?q=abe%20bagels%20natural%20bagels%20pack
praise honey and dijon,4,3,1,0,https://www.coles.com.au/search?q=praise%20honey%20and%20dijon
steggles tempura chicken pops,4,3,1,0,https://www.coles.com.au/search?q=steggles%20tempura%20chicken%20pops
chocolate medium party share,4,3,1,0,https://www.coles.com.au/search?q=chocolate%20medium%20party%20share
nestle chocolate bits dark,4,3,1,0,https://www.coles.com.au/search?q=nestle%20chocolate%20bits%20dark
massel beef stock powder,4,3,1,0,https://www.coles.com.au/search?q=massel%20beef%20stock%20powder
black swan corn relish dip,5,3,1,0,https://www.coles.com.au/search?q=black%20swan%20corn%20relish%20dip
creamy chicken pot pie,4,3,1,0,https://www.coles.com.au/search?q=creamy%20chicken%20pot%20pie
