,query,len,len_bucket,coles_cnt
0,runners,1,1,0
1,roast caps,2,1,2
2,mayver smooth,2,1,4
3,beef rub,2,1,2
4,natural lollies,2,1,8
5,always olives,2,1,22
6,seasoning chicken,2,1,15
7,kelloggs crum,2,1,1
8,soygood,1,1,6
9,fly paper,2,1,5
10,mix vegetables,2,1,58
11,bosistos banksia,2,1,3
12,stock miso,2,1,10
13,split lentil,2,1,5
14,meat menus,2,1,5
15,nestle milkybar,2,1,9
16,globes bayonet,2,1,93
17,dry spice,2,1,141
18,marion thai,2,1,6
19,beans edgell,2,1,21
20,garlic wurst,2,1,0
21,digestive bis,2,1,11
22,pinenaple,1,1,3
23,truss tomotoes,2,1,3
24,bathroom ajax,2,1,2
25,rice wild,2,1,4
26,pickle coles,2,1,21
27,daawat,1,1,2
28,lsa meal,2,1,4
29,treasure nappy,2,1,0
30,carmans protein,2,1,16
31,methyla,1,1,1
32,bsc salted,2,1,3
33,vegie juice,2,1,20
34,colgate mouthwash,2,1,14
35,biscuits finger,2,1,12
36,parmeson cheese,2,1,22
37,floor earth,2,1,2
38,betadine gargles,2,1,2
39,coles migoreng,2,1,3
40,shape bbq,2,1,3
41,omo capsul,2,1,11
42,probiotics tablets,2,1,18
43,lifestyle bakery,2,1,1
44,hair receipe,2,1,18
45,book labels,2,1,0
46,dried coco,2,1,6
47,auntie kaths,2,1,3
48,chips frozen,2,1,10
49,zero sprite,2,1,9
50,iron spray,2,1,4
51,pineapple juic,2,1,37
52,bistos,1,1,2
53,beef burge,2,1,0
54,minced pie,2,1,2
55,garland figs,2,1,1
56,meb greek,2,1,1
57,mop oates,2,1,8
58,chocolate prinkle,2,1,1
59,worcestershire sauce,2,1,5
60,coles cornflak,2,1,2
61,sorbolene,1,1,4
62,schmackos liver,2,1,3
63,powerade zero,2,1,3
64,pea milk,2,1,11
65,dark tan,2,1,9
66,milk formular,2,1,21
67,mushroom chips,2,1,4
68,sun newspaper,2,1,101
69,caramel waffle,2,1,1
70,cans v,2,1,"1,329"
71,masterfood marinades,2,1,5
72,kitchen towel,2,1,559
73,pilot pens,2,1,14
74,fruit cocktails,2,1,1
75,lemongrass lime,2,1,3
76,pie cheese,2,1,6
77,fresh wraps,2,1,10
78,ipa,1,1,26
79,cottees cans,2,1,5
80,dishwasher wash,2,1,7
81,patties bit,2,1,0
82,garlic marinade,2,1,8
83,harpic whit,2,1,5
84,gold tipped,2,1,4
85,sushi roll,2,1,0
86,linghams,1,1,8
87,dark buttons,2,1,1
88,coffee milk,2,1,45
89,stone bread,2,1,27
90,bbq crun,2,1,3
91,apple scroll,2,1,14
92,centrum men,2,1,2
93,froze fish,2,1,38
94,huggies unisex,2,1,7
95,detol liq,2,1,0
96,chocolate pops,2,1,9
97,herbert ada,2,1,1
98,baby fabric,2,1,23
99,nair cream,2,1,4
100,white pot,2,1,1
101,butterscotch popcorn,2,1,0
102,magnesium calcium,2,1,3
103,lettuce leafs,2,1,5
104,decor glass,2,1,6
105,tea twinnings,2,1,60
106,aioli s,2,1,"1,087"
107,hot chick,2,1,9
108,broccolli,1,1,2
109,blue tape,2,1,3
110,vittoria esp,2,1,3
111,dov,1,1,0
112,farmhouse mil,2,1,4
113,tempters tuna,2,1,22
114,kleenex soothe,2,1,41
115,takoyaki,1,1,1
116,smoke cheese,2,1,13
117,musli bars,2,1,505
118,allen pin,2,1,0
119,cracker captains,2,1,3
120,dog bacon,2,1,5
121,pastry puffs,2,1,14
122,your favourite,2,1,10
123,zero sugar,2,1,53
124,women bonds,2,1,22
125,colgate freshmint,2,1,3
126,hair style,2,1,178
127,crushed garli,2,1,2
128,maybelline colo,2,1,5
129,crispy squid,2,1,1
130,large santoku,2,1,3
131,clip fresh,2,1,4
132,tri capsicum,2,1,1
133,splash,1,1,15
134,water bottles,2,1,27
135,chocolate mould,2,1,2
136,essences,1,1,73
137,cashmere vanilla,2,1,21
