query,len,len_bucket,wws_urls
runners,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=runners
roast caps,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=roast%20caps
mayver smooth,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mayver%20smooth
beef rub,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beef%20rub
natural lollies,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=natural%20lollies
always olives,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=always%20olives
seasoning chicken,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=seasoning%20chicken
kelloggs crum,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=kelloggs%20crum
soygood,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=soygood
fly paper,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fly%20paper
mix vegetables,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mix%20vegetables
bosistos banksia,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bosistos%20banksia
stock miso,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=stock%20miso
split lentil,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=split%20lentil
meat menus,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=meat%20menus
nestle milkybar,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=nestle%20milkybar
globes bayonet,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=globes%20bayonet
dry spice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dry%20spice
marion thai,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=marion%20thai
beans edgell,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beans%20edgell
garlic wurst,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garlic%20wurst
digestive bis,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=digestive%20bis
pinenaple,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pinenaple
truss tomotoes,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=truss%20tomotoes
bathroom ajax,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bathroom%20ajax
rice wild,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=rice%20wild
pickle coles,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pickle%20coles
daawat,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=daawat
lsa meal,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lsa%20meal
treasure nappy,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=treasure%20nappy
carmans protein,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=carmans%20protein
methyla,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=methyla
bsc salted,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bsc%20salted
vegie juice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vegie%20juice
colgate mouthwash,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=colgate%20mouthwash
biscuits finger,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=biscuits%20finger
parmeson cheese,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=parmeson%20cheese
floor earth,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=floor%20earth
betadine gargles,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=betadine%20gargles
coles migoreng,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coles%20migoreng
shape bbq,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=shape%20bbq
omo capsul,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=omo%20capsul
probiotics tablets,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=probiotics%20tablets
lifestyle bakery,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lifestyle%20bakery
hair receipe,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hair%20receipe
book labels,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=book%20labels
dried coco,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dried%20coco
auntie kaths,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=auntie%20kaths
chips frozen,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chips%20frozen
zero sprite,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=zero%20sprite
iron spray,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=iron%20spray
pineapple juic,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pineapple%20juic
bistos,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bistos
beef burge,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=beef%20burge
minced pie,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=minced%20pie
garland figs,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garland%20figs
meb greek,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=meb%20greek
mop oates,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mop%20oates
chocolate prinkle,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chocolate%20prinkle
worcestershire sauce,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=worcestershire%20sauce
coles cornflak,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coles%20cornflak
sorbolene,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sorbolene
schmackos liver,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=schmackos%20liver
powerade zero,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=powerade%20zero
pea milk,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pea%20milk
dark tan,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dark%20tan
milk formular,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=milk%20formular
mushroom chips,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=mushroom%20chips
sun newspaper,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sun%20newspaper
caramel waffle,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=caramel%20waffle
cans v,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cans%20v
masterfood marinades,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=masterfood%20marinades
kitchen towel,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=kitchen%20towel
pilot pens,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pilot%20pens
fruit cocktails,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fruit%20cocktails
lemongrass lime,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lemongrass%20lime
pie cheese,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pie%20cheese
fresh wraps,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=fresh%20wraps
ipa,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=ipa
cottees cans,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cottees%20cans
dishwasher wash,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dishwasher%20wash
patties bit,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=patties%20bit
garlic marinade,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=garlic%20marinade
harpic whit,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=harpic%20whit
gold tipped,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=gold%20tipped
sushi roll,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=sushi%20roll
linghams,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=linghams
dark buttons,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dark%20buttons
coffee milk,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=coffee%20milk
stone bread,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=stone%20bread
bbq crun,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=bbq%20crun
apple scroll,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=apple%20scroll
centrum men,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=centrum%20men
froze fish,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=froze%20fish
huggies unisex,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=huggies%20unisex
detol liq,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=detol%20liq
chocolate pops,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chocolate%20pops
herbert ada,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=herbert%20ada
baby fabric,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=baby%20fabric
nair cream,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=nair%20cream
white pot,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=white%20pot
butterscotch popcorn,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=butterscotch%20popcorn
magnesium calcium,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=magnesium%20calcium
lettuce leafs,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=lettuce%20leafs
decor glass,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=decor%20glass
tea twinnings,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tea%20twinnings
aioli s,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=aioli%20s
hot chick,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hot%20chick
broccolli,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=broccolli
blue tape,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=blue%20tape
vittoria esp,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vittoria%20esp
dov,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dov
farmhouse mil,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=farmhouse%20mil
tempters tuna,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tempters%20tuna
kleenex soothe,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=kleenex%20soothe
takoyaki,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=takoyaki
smoke cheese,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=smoke%20cheese
musli bars,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=musli%20bars
allen pin,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=allen%20pin
cracker captains,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cracker%20captains
dog bacon,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dog%20bacon
pastry puffs,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=pastry%20puffs
your favourite,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=your%20favourite
zero sugar,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=zero%20sugar
women bonds,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=women%20bonds
colgate freshmint,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=colgate%20freshmint
hair style,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=hair%20style
crushed garli,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=crushed%20garli
maybelline colo,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=maybelline%20colo
crispy squid,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=crispy%20squid
large santoku,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=large%20santoku
clip fresh,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=clip%20fresh
tri capsicum,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=tri%20capsicum
splash,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=splash
water bottles,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=water%20bottles
chocolate mould,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=chocolate%20mould
essences,1,1,https://www.woolworths.com.au/shop/search/products?searchTerm=essences
cashmere vanilla,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cashmere%20vanilla
zinc,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=zinc
cake topping,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cake%20topping
dog chewz,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dog%20chewz
vegi delight,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vegi%20delight
men deoderant,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=men%20deoderant
yogurt frozen,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=yogurt%20frozen
cottoneye pads,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=cottoneye%20pads
dry erase,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=dry%20erase
candle wax,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=candle%20wax
broccoli baby,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=broccoli%20baby
arnott choc,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=arnott%20choc
vitamine juice,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=vitamine%20juice
salmon froz,2,1,https://www.woolworths.com.au/shop/search/products?searchTerm=salmon%20froz
